Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.000245440255894021,-0.26690950846453,-0.119018694634333,0,0,0,1.84058687159975,0.0745416996110355,0.000148661882664406,1.88535341290636E-05,0.0142146049224298,0.000140555794754809,0.0755493806951746,0,0,0,0,0,0,package://mini/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/body.STL,,shentilingjian-2,ori,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF,0.0501797505978839,-0.00117714841636699,-0.00101274607086331,0,0,0,0.0848927357980997,5.74845888913753E-05,-3.26354780273533E-06,7.14333133904963E-07,0.0001013648956261,8.40365965620821E-07,0.000118406896361467,0,0,0,0,0,0,package://mini/meshes/LF.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/LF.STL,,kuanguanjie-1,LF-1,Axis_LF_Joint,LF_Joint,revolute,-0.0619999997813264,-0.0670000002339657,-0.129699999983671,-1.5707963267949,0,1.57079633005868,body,1,0,0,0,0,0,0,,,,,,,,
LF_1,-0.00454268776611239,0.0356868315480052,0.0462116917048522,0,0,0,0.254274593126043,0.00171033616198927,0.000114548554163662,1.57834810918413E-06,0.000356452736244077,-1.21809361527448E-05,0.00177134098650171,0,0,0,0,0,0,package://mini/meshes/LF_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mini/meshes/LF_1.STL,,zuodatui-1,LF-2,Axis_LF_Joint_1,LF_Joint_1,revolute,0.055,0,0.0369999999999973,0,0,0,LF,0,0,1,0,0,0,0,,,,,,,,
LF_2,-0.00791119514784239,0.155371104176032,-0.0185125947760823,0,0,0,0.0821021793793291,0.00101039886412487,4.79164938059237E-05,-2.26551882075619E-09,1.4593471616848E-05,1.11680724458971E-07,0.00101698105673901,0,0,0,0,0,0,package://mini/meshes/LF_2.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/LF_2.STL,,xiaotuizhuangpei-4,LF-3,Axis_LF_Joint_2,LF_Joint_2,revolute,-0.00284717615831659,0.249983786652555,0.0659999999907074,0,0,0,LF_1,0,0,1,0,0,0,0,,,,,,,,
LB,-0.0501797531184657,-0.00117714574142191,-0.00101275926123656,0,0,0,0.0848928229213895,5.74846138998654E-05,3.26354164295674E-06,-7.14334685545111E-07,0.000101364933311542,8.40365622492163E-07,0.000118406933977841,0,0,0,0,0,0,package://mini/meshes/LB.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/LB.STL,,jingxiangkuangaunjie-2,LB-1,Axis_LB_Joint,LB_Joint,revolute,-0.0619999986324702,-0.419000000233966,-0.129699999897879,-1.5707963267949,0,1.57079633005868,body,1,0,0,0,0,0,0,,,,,,,,
LB_1,-0.0056088186033082,0.0355348305242741,0.0462116950281868,0,0,0,0.254274504205363,0.00170226762302061,0.00015484937981588,1.94225212328637E-06,0.000364519918862472,-1.21283043073719E-05,0.00177133963348735,0,0,0,0,0,0,package://mini/meshes/LB_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mini/meshes/LB_1.STL,,zuodatui-2,LB-2,Axis_LB_Joint_1,LB_Joint_1,revolute,-0.0550000000000016,0,0.037,0,0,0,LB,0,0,1,0,0,0,0,,,,,,,,
LB_2,-0.01291813699497,0.155035129786747,-0.0185125939520661,0,0,0,0.0821021858706785,0.00100627386659396,7.99170020567905E-05,-5.864592490093E-09,1.87185267024882E-05,1.1154642349817E-07,0.00101698111179844,0,0,0,0,0,0,package://mini/meshes/LB_2.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/LB_2.STL,,xiaotuizhuangpei-1,LB-3,Axis_LB_Joint_2,LB_Joint_2,revolute,-0.0103284822954822,0.24978655379728,0.06599999996629,0,0,0,LB_1,0,0,1,0,0,0,0,,,,,,,,
RF,0.0501797538865763,-0.00118185349852255,0.00100726133774833,0,0,0,0.0848928210166398,5.74846137695991E-05,-3.26017620735351E-06,-7.2953919050443E-07,0.000101373135436778,-9.19764539896138E-07,0.000118398727095263,0,0,0,0,0,0,package://mini/meshes/RF.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/RF.STL,,jingxiangkuangaunjie-1,RF-1,Axis_RF_Joint,RF_Joint,revolute,0.062,-0.067,-0.1297,-1.5708,0,1.5708,body,1,0,0,0,0,0,0,,,,,,,,
RF_1,-0.00458432071406256,0.0361665598779678,-0.0465249028793709,0,0,0,0.254869917041049,0.00170414629635864,0.000118123686872183,-2.09865571019765E-07,0.000353649344011661,3.12027441252963E-06,0.00176809632277789,0,0,0,0,0,0,package://mini/meshes/RF_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mini/meshes/RF_1.STL,,youdatui-2,RF-2,Axis_RF_Joint_1,RF_Joint_1,revolute,0.055,0.00017246,-0.037,0,0,0,RF,0,0,1,0,0,0,0,,,,,,,,
RF_2,-0.00837193817002385,0.155346959509884,0.0184874037320066,0,0,0,0.0821021795597598,0.0010101059082602,5.08688459114004E-05,-2.59605536121194E-09,1.48864269461338E-05,1.11664906639562E-07,0.00101698106065422,0,0,0,0,0,0,package://mini/meshes/RF_2.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/RF_2.STL,,xiaotuizhuangpei-3,RF-3,Axis_RF_Joint_2,RF_Joint_2,revolute,-0.0035844,0.25028,-0.064834,0.0046612,0,0,RF_1,0,0,1,0,0,0,0,,,,,,,,
RB,-0.050179750597884,-0.00117714841636701,0.00101274607086329,0,0,0,0.0848927357981,5.74845888913754E-05,3.26354780273531E-06,7.1433313390485E-07,0.0001013648956261,-8.40365965620812E-07,0.000118406896361468,0,0,0,0,0,0,package://mini/meshes/RB.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/RB.STL,,kuanguanjie-2,RB-1,Axis_RB_Joint,RB_Joint,revolute,0.062,-0.419,-0.1297,-1.5708,0,1.5708,body,1,0,0,0,0,0,0,,,,,,,,
RB_1,-0.00580444812856595,0.0357725246263385,-0.0491929707801751,0,0,0,0.254869812968442,0.00169455137955729,0.000163755581509164,-1.09037765719604E-06,0.000363302525061901,9.68146134861953E-06,0.00176803496348713,0,0,0,0,0,0,package://mini/meshes/RB_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mini/meshes/RB_1.STL,,youdatui-1,RB-2,Axis_RB_Joint_1,RB_Joint_1,revolute,-0.055,0,-0.0345,0,0,0,RB,0,0,1,0,0,0,0,,,,,,,,
RB_2,-0.00702662858027892,0.155413621022406,0.0184874049559236,0,0,0,0.0821021804602638,0.00101091211199855,4.22449310017215E-05,-1.63024498375539E-09,1.40802264704191E-05,1.11692993138164E-07,0.00101698105964998,0,0,0,0,0,0,package://mini/meshes/RB_2.STL,1,1,1,1,0,0,0,0,0,0,package://mini/meshes/RB_2.STL,,xiaotuizhuangpei-2,RB-3,Axis_RB_Joint_2,RB_Joint_2,revolute,-0.0120851358149442,0.249707728128166,-0.0685000000394434,0,0,0,RB_1,0,0,1,0,0,0,0,,,,,,,,
Lidar,3.31640316434539E-06,0.0357452861533647,0.000168293826702581,0,0,0,0.590032077795476,0.000647464608320236,6.45580533550386E-08,2.89532307924072E-10,0.000774943193326064,2.80453300263633E-06,0.000641326417350481,0,0,0,0,0,0,package://mini/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mini/meshes/Lidar.STL,,lidar-1,Origin_Lidar_Joint,Axis_Lidar_Joint,Lidar_Joint,fixed,0,0,-0.0717,1.5708,0,0,body,0,0,0,,,,,,,,,,,,
RealSence_F,-0.0220687308289624,0.0467473259367573,0.378467842281016,0,0,0,0.0483821864790052,4.59957024125321E-06,1.59319006516822E-07,4.42312645141517E-07,2.9922649412762E-05,-4.11068005512863E-08,2.98432126115266E-05,0,0,0,0,0,0,package://mini/meshes/RealSence_F.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mini/meshes/RealSence_F.STL,,realsense_front-2,Origin_RealSence_F_Joint,,RealSence_F_Joint,fixed,0.020939,0.45806,-0.14839,1.5708,0,0,body,0,0,0,,,,,,,,,,,,
RealSence_B,-0.0220687307886732,0.0467473259498581,0.378467842288961,0,0,0,0.0483821865502262,4.5995702475578E-06,1.59318993530729E-07,4.42312632076694E-07,2.99226494684879E-05,-4.11068099558978E-08,2.98432126753058E-05,0,0,0,0,0,0,package://mini/meshes/RealSence_B.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mini/meshes/RealSence_B.STL,,realsense_front-3,Origin_RealSence_B_Joint,Axis_RealSence_B_Joint,RealSence_B_Joint,fixed,0.0209390044790954,-0.904272317630113,-0.30007590343112,-0.872664626240902,0,0,body,0,0,0,,,,,,,,,,,,
